,Availability,Categories,Featured,Filter Shop,Filterplayers,Game Character,Game Discription,Game Title,Game url,General Filters,No of Players,Object ID,Virtual Console,free to start,slug
372,'Available now',"'Adventure', 'Puzzle'",False,,,,"Experience a story-based puzzle game unlike anything you've ever played before! Raved by critics and players around the world, you play as milkmaid Ruth who lives alone on a remote farm in a faraway fjord. Then one day a spaceship arrives and turns Ruth's life upside down, sending her on a quest that will change her life forever.
Milkmaid is a modern take on a much loved genre from the 90's, the point'n'click adventure game. Solve puzzles, explore intriguing settings and experience a gripping story that twists and turns.

&nbsp;
Features
- A lovingly crafted universe with hand-painted backgrounds combined with old school pixel art&nbsp;
- An exciting, intriguing story filled with wonder
- 2-4 hour playtime
- All dialogue and game text written in rhyme!&nbsp;
- English, French and Norwegian languages
- Autosave and custom save games
- Four earth-based cows
- Absolutely no microtransitions, loot boxes or pay to win
- Lovely, original soundtracks
- Made with passion by one guy from Norway",Milkmaid of the Milky Way,/games/detail/milkmaid-of-the-milky-way-switch,,1 player,322ebfac-6c5c-3eef-9f8d-ae925e208a38,na,False,milkmaid-of-the-milky-way-switch
373,'Available now',"'Action', 'Arcade', 'Multiplayer', 'Party'",False,,"'3+', '2+', '1+'",,"Risk versus reward guides your journey through the full-length single player campaign and local/online multiplayer. Vigilance is key as environmental tells such as footprints and other disturbances will point out careless cadets. A massive amount of lovingly-made environments, maps, modes, and abilities – all obsessively balanced – combine for high replayability and a deep path to mastery.
&nbsp;
★ Single Player Campaigns
Challenge yourself in the Hero’s Journey: individually tailored hero campaigns filled with puzzle rooms, skill challenges, and boss fights. The unique abilities have entire journeys built specifically to teach you to properly use that hero’s playstyle – all while the art of stealth and mastery of movement becomes second-nature.
&nbsp;
★ Multiplayer Battles - Local and Online
Once you’ve honed your skills in the Hero’s Journey and defeated all of your friends, you’ll want to challenge the world! Online matchmaking, crossplay with the PC community, and public or private matches with join keys allow you to find a foe anytime, anywhere.
&nbsp;
★ Choose your Main
With 12 different heroes – each with their own unique ability – there is a perfect strategy for every playstyle. From meticulously sneaky to ruthlessly aggressive, find your favorite ability and shock your friends when you appear out of thin air and surprise them!
&nbsp;
★ Competitive, Deep Hide and Seek
Count your steps to find the perfect hiding spot, wait for your foes to reveal themselves, then pounce! While counterintuitive at first, invisibility becomes your most versatile tool, leading to intense moments of complete silence. Invisigun’s core mechanics reward patience, forethought, trickery, and awareness.
&nbsp;
★ Easy to Learn, Tough to Master
The depth is nearly unlimited with intentional baits, undetectable direction changes, powerup drops, and accidental bumps (that may not be so accidental). The chess dance is infinite and evolving, and all of the deceit is only heightened by the fact that your opponents could be lurking ANYWHERE!",Invisigun Reloaded,/games/detail/invisigun-reloaded-switch,'Online Play via Nintendo Switch Online',up to 4 players,1b89e2e9-abf9-351c-b3de-a120fa398fcb,na,False,invisigun-reloaded-switch
374,'Available now','Action',False,,,,"RAD is a 3D action rogue-like set in a post-post-apocalyptic world, where humanity has faced armageddon not once, but twice.
Playing as a teenage protagonist, you must venture into the Fallow — an ever-changing, radioactive wasteland filled with unknown and unspeakable creatures.

But humanity’s future comes at great personal cost, as the deeper you journey into unknown lands, the more you will expose yourself to gnarly toxins which will wreak havoc on your fragile human form.

The fate of the world depends on you, your trusty bat, and whatever strange new abilities you gain as the world around you ravages your body — twisting and mutating you into something far less than human, but far more powerful.

But forget all that — go grab that sweet bat and help save the world…or what’s remaining of it anyway!",RAD,/games/detail/rad-switch,,1 player,e6f7b839-4fe6-371e-b0c1-31bbab66444d,na,False,rad-switch
375,'Available now','Racing',False,'At retail','1+',,"The European Truck Racing Championship is one of the most spectacular and challenging motor racing competitions.&nbsp;
The driving difficulty and many unique race features have been faithfully reproduced with the KT Engine (WRC).

In ETRC, like on real-life race tracks, you need to control the temperature of your brakes so they don't overheat. You must also consider the weight of the truck when cornering, monitor tyre wear and find the best tactics for overtaking.
&nbsp;
The official FIA ETRC game is a completely new option for all fans of racing sims.
• 45 trucks with their official livery, including top manufacturers like Volvo, Man, Freightliner and Western Star
• 20 teams and the championship's best drivers
• 14 circuits including official ETRC ones,&nbsp; as well as Laguna Seca, Circuit of The Americas and Fuji Speedway
• 5 single-player modes and 5 multiplayer modes",Truck Racing Championship,/games/detail/truck-racing-championship-switch,,up to 2 players,d012b20f-1e50-3e91-91a6-985852e18e15,na,False,truck-racing-championship-switch
376,'Available now',"'Platformer', 'Puzzle'",False,,,,"Distinct features of IN-VERT are it's hardcore approach to platforming genre with puzzle elements and unique art-direction. Game narrates the story of lone robot in search of his disappeared master. In his quest to find the long-lost friend, our hero has to conquer two universes at once, relentlessly switching between two dimensions. Be prepared for some tough puzzles, jumping sequences and retro graphics like you've never seen before.",IN-VERT,/games/detail/in-vert-switch,,1 player,4ff35d82-14fe-34ae-b505-7a5191d7abf2,na,False,in-vert-switch
377,'Available now',"'Board Game', 'Simulation', 'Strategy', 'Puzzle'",False,"'At retail', 'On Nintendo.com'",'1+',,"Experience over 20 years of Yu-Gi-Oh! history with Yu-Gi-Oh! Legacy of the Duelist: Link Evolution on Nintendo Switch!
Build your Deck from over 9,000 cards and take on the most iconic Duelists from the Yu-Gi-Oh! universe. Relive the stories from the original animated Yu-Gi-Oh! series through Yu-Gi-Oh! ARC-V, and challenge the newest generation of Duelists from the virtual world of Yu-Gi-Oh! VRAINS!",Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,/games/detail/yu-gi-oh-legacy-of-the-duelist-link-evolution-switch,'Online Play via Nintendo Switch Online',up to 2 players,0838cb24-b399-33fe-948d-1bbbf2bc0c94,na,False,yu-gi-oh-legacy-of-the-duelist-link-evolution-switch
378,'Available now',"'Action', 'Adventure', 'Arcade'",False,,,,"Hotline Miami Collection contains both legendary games in the neon-soaked, brutally-challenging Hotline Miami series from Dennaton Games.&nbsp;",Hotline Miami Collection,/games/detail/hotline-miami-collection-switch,,1 player,57401a97-dcb7-3441-b4b3-a111b5225d7c,na,False,hotline-miami-collection-switch
379,'Available now',"'Action', 'First-Person', 'Puzzle'",False,,,,"“SUPERHOT IS THE MOST INNOVATIVE SHOOTER I’VE PLAYED IN YEARS!”&nbsp;
– Washington Post
&nbsp;
&quot;A hallmark of excellence.&quot;&nbsp;
– destructoid, 9/10
&nbsp;
&quot;The most innovative shooter I’ve played in years.&quot;&nbsp;
– Jimquisition 9.5/10
&nbsp;
&quot;Unlike anything else I've played.&quot;&nbsp;
– Polygon 9/10
&nbsp;
&quot;May very well belong in the same set as System Shock and Half-Life.”&nbsp;
– The Daily Dot 5/5
&nbsp;
Blurring the lines between cautious strategy and unbridled mayhem, SUPERHOT is the FPS in which time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing weapons off fallen enemies to shoot, slice, and maneuver through a hurricane of slow-motion bullets.
&nbsp;
With its unique, stylized graphics SUPERHOT finally adds something new and disruptive to the FPS genre. SUPERHOT’s polished, minimalist visual language helps you focus on what's most important – the fluid gameplay and the cinematic beauty of the fight.
&nbsp;
SUPERHOT features:
• Endless Mode – how long can you last against unyielding waves of enemies?
• Challenge Mode – take on SUPERHOT with your bare hands, no restarts, timed runs, and more.
• Extras – delve further into SUPERHOT with mini-games, ASCII art, and [redacted].
&nbsp;
Thirty months in the making. Thousands of hours put into development and design. From its humble origins in the 7 Day FPS game jam, through a hugely successful Kickstarter campaign to a plethora of awards and nominations from industry experts, SUPERHOT is a labor of love by its independent, dedicated team and thousands of backers from all around the globe.",SUPERHOT,/games/detail/superhot-switch,,1 player,22aabee9-8ff0-361b-a08d-0a1604ce28a6,na,False,superhot-switch
380,'Available now',"'Adventure', 'Fighting', 'Role-Playing', 'Sports'",False,,,,"Create, train and equip your duck fighter and watch it waddle its way to the top&nbsp;
Train your duck's power, health, defence, speed, and special attack abilities in 25 brand new mini games. Explore the world battling other ducks, entering tournaments and completing quests to become the greatest duck battler of all time.",Duck Life: Battle,/games/detail/duck-life-battle-switch,'Online Play via Nintendo Switch Online',1 player,e1231d54-5c03-3cea-b339-97e649b6f372,na,False,duck-life-battle-switch
381,'Available now',"'Adventure', 'Platformer', 'Simulation', 'Puzzle'",False,,,,"Traverse a dried-out seabed littered with the remains of a decaying civilization. Keep your unique vessel going, overcome numerous obstacles and withstand the hazardous weather conditions. How far can you make it? What will you find?
&nbsp;
- Master your vessel: Maintain and upgrade your vehicle to overcome numerous obstacles and natural hazards.
- Discover a unique world: Explore a desolate dried-out seabed, follow the trails of your people and find relics and buildings, that tell the story of a civilization on the run.
- Experience an atmospheric journey: Let the sky full of clouds pass by and heed the wind that drives your sails towards the horizon.",FAR: Lone Sails,/games/detail/far-lone-sails-switch,,1 player,356cd174-82db-370a-acdf-8ec601a4cf6b,na,False,far-lone-sails-switch
382,'Available now',"'Arcade', 'Multiplayer', 'Party', 'Puzzle'",False,,'1+',,"Colored blocks fall, and they keep falling.&nbsp; You rotate them, and drop them.&nbsp; Faster and faster you align the pieces, creating links of matching color, filling in gaps.&nbsp; You touch a block with a detonator and the entire chain explodes.&nbsp; The blocks above them drop, another detonator touches, and another chain is gone.&nbsp; Then another.
Anode reintroduces the classic falling-block puzzle genre, with new twists and challenges!&nbsp; Link blocks back and forth across each other.&nbsp; Match angled couplers to create chains of multiple colors.&nbsp; Earn items and use them to clear your bin.&nbsp; Play Mission Mode and complete randomly-generated objectives for additional challenge.&nbsp; Post your scores on leaderboards and see how you stack up.

Invite a friend over, and dive into frantic competition.&nbsp; Complete long chains to send blocks to your opponent's side, or use offensive items to trip them up.&nbsp; All to a pulsing soundtrack with music that gets more intense as your bin fills!",Anode,/games/detail/anode-switch,,up to 2 players,7fe8dc60-a066-34e0-b16b-f677903ed148,na,False,anode-switch
383,'Available now',"'Action', 'Arcade'",False,,,,"It’s year 104 of Universal Galactic Calendar; after the destruction of the Earth, human survivors are scattered all over the universe, trying to persevere in the hostile environment of the war-torn outer space.
Join the fight as one of the pilots born post-Exodus, travelling through galaxies in search for their meaning of life.

Help other survivors, solve the mysteries and fight - all in order to escape from the universe!

&nbsp;
• Wide variety of enemies will test your skillfulness and challenge you to adjust to ever-changing conditions.
• Save one person or save millions? Your decisions can have a lasting influence on the whole galaxy.
• Shooting isn't always the way to win - chase your enemies, avoid the obstacles, or leave your trusted spaceship and infiltrate hostile territory on foot.
• Limited palette of clean, flat colors combined with an otherworldly soundtrack create a retro feast for the eyes and ears.",Escape from the Universe,/games/detail/escape-from-the-universe-switch,,1 player,f72a3014-7146-3b28-b494-091e60f9a729,na,False,escape-from-the-universe-switch
384,'Available now',"'Arcade', 'Multiplayer', 'Party', 'Sports'",False,,"'4+', '3+', '2+', '1+'",,"- 6 sports : tennis, goal keeper, bowling, baseball, rafting and hurdle race.
- 20 characters to customise (name, outfit, accessories, hair…)
- Varied game modes, single player or multiplayer with up to 8 players.
- 18 playable environments and tons of items to unlock!",Instant Sports,/games/detail/instant-sports-switch,,up to 8 players,a84c8f94-29ad-3ef3-b4d4-3be9dbd60fb0,na,False,instant-sports-switch
385,'Available now','Role-Playing',False,,,,Two quintessential RPGs have finally gone portable on one of gaming's most popular console/handheld hybrid platforms. The highly anticipated GRANDIA HD Collection for the Nintendo Switch is here,GRANDIA HD Collection,/games/detail/grandia-hd-collection-switch,,1 player,a78cd979-81e5-3eab-a252-90dd0c4379f7,na,False,grandia-hd-collection-switch
386,'Available now',"'Action', 'Arcade', 'Platformer', 'Puzzle'",False,,,,"Have you ever wanted to be rich? What if you could become rich and control gravity!?This duck can with your help!
Flip, dodge, and traverse mind-bending gravity puzzles in 140 levels in order to grab all the eggs to return to the Maui statue!

Need to change direction of your gravity flips? Use the gravity wells to switch the direction you fall in order to get around obstacles and grab the eggs!

&nbsp;
Features:
&nbsp;* Flip between 140 levels across 4 chapters
&nbsp;* Catchy 8-bit music
&nbsp;* Vibrant pixelated levels
&nbsp;* Use gravity wells to change the direction in which you fall
&nbsp;* Dodge spikes, projectiles, and traps to secure the eggs.&nbsp;",Gravity Duck,/games/detail/gravity-duck-switch,,1 player,8a8d4f13-d94c-3823-bbcf-ca7653139b00,na,False,gravity-duck-switch
387,'Available now',"'Action', 'Adventure', 'Puzzle'",False,,,,"Adventuress Ittle Dew and her sidekick Tippsie crash onto a strange island, filled with loot and mysterious inhabitants. It quickly dawns on the duo that this might become their biggest adventure yet.Ittle Dew boils down the classic adventure formula until there is only fun left.&nbsp;
Fun items

We've boiled down the classic adventure formula to just three items, designed to work together in more or less obvious ways. There are hundreds of ways to combine them so experimentation is key!
Speedrunning

Filled with hundreds of secrets and shortcuts, this game is designed for speedrunning and you're encouraged to complete the game with different setups of tools and weapons.",Ittle Dew,/games/detail/ittle-dew-switch,,1 player,c815c32a-8c09-346f-8448-bfe33b13d594,na,False,ittle-dew-switch
388,'Available now',"'Action', 'Arcade'",False,,"'3+', '2+', '1+'",,"For the very first time, highly acclaimed Japanese Arcade Shoot’em Ups, Vasara and Vasara 2, are made available to the whole world via this package: VASARA Collection!
Science Fiction meets History in these arcade classics which take place in an alternate timelime Feudal Japan where technologically advanced weaponry and equipment are a reality, and heroes use flying motorcycles with amazing firepower and fierce melee weapons to destroy their enemies.&nbsp;
Fight against warships, battle tanks, giant robots, evil soldiers and rogue Samurais to prevent 1600's Japan from being taken over by tyrannical forces.
The highly skill-based gameplay keeps you at the edge of your seat at all times. Try and stay alive on this frantic game where everyone, and everything, is out to kill you!
&nbsp;
Main features:
- Brand new game mode with Widescreen and 4-Player Co-Op support;
- Tate Mode/ Vertical Mode support;&nbsp;
- 9 playable characters inspired by real Japanese historical figures;
- Sci-Fi meets Feudal Japan in this retelling of historical battles;
- Fight Robots and Samurais using traditional shooting and powerful melee attacks;
- Heavily skill-based gameplay for Experts;
- Easy Mode for Starters;
- Branching Paths and Multiple Endings according to your characters and in-game actions;",VASARA Collection,/games/detail/vasara-collection-switch,,up to 4 players,bc0fbdcd-1ce6-3f30-b587-ba0fd1c17458,na,False,vasara-collection-switch
389,'Available now',"'Action', 'Arcade', 'Platformer'",False,,,,"Survive the destruction of the galaxy in this fast-paced race through space!
A supermassive black hole is tearing the cosmos apart, and one plucky little robot has to race across the shattered fragments of countless worlds, into the heart of the rogue singularity itself!

Rogue Singularity is a love letter to the classic 3D platformers, but with a high-tech twist: no two levels are ever the same! Guide your perfectly polished pint-sized pal through a never-ending sequence of procedurally-generated levels packed with out-of-control machines, bizarre alien life, dangerous natural hazards, and diabolical traps.

&nbsp;
Features:
&nbsp;- Back to the classics: Golden age 3D platforming reimagined with cutting edge game design
&nbsp;- Galaxy of danger: Increasingly difficult levels require precise control and fast reflexes
&nbsp;- Play forever: Endless procedurally-generated levels feature jungles, volcanoes, factories, and more
&nbsp;- Build your hero: Collect interchangeable robot body parts and recolour them to make a unique hero
&nbsp;- Cosmic beats: Groove to a blistering electronic soundtrack by chiptunes legend Derris Kharlan",Rogue Singularity,/games/detail/rogue-singularity-switch,,1 player,b08a86cb-adbb-37ed-a0cc-965aa1f7cb46,na,False,rogue-singularity-switch
390,'Available now',"'Adventure', 'Puzzle'",False,,,,"High in the sky, mysterious lands hover. There lives a Squarecat and adventure begin here!
Your task is to reach the finish line by solving different puzzles.

-The game is expanded on two screens.
-Cute, simple graphics.
-The game has a soothing atmosphere.",Squarcat,/games/detail/squarcat-3ds,,1 player,adb00cd6-6778-3b8c-8e42-a6c478f3e180,na,False,squarcat-3ds
391,'Available now',"'Adventure', 'Simulation', 'Strategy'",False,,,,"Cold, gray, forbidding walls stretch to the sky. Massive oak doors conceal the most important secrets of the State. This is where fates are decided. This is the Ministry!
Welcome, intern!

You are now a part of the SYSTEM!
We have entrusted you with work of great importance. As part of the Ministry, you are expected to perform your duties with impeccable thoroughness.

While you are now at the bottom of the career ladder, that is more than many of your fellow citizens will ever achieve! You will work hard for the public good and help thousands of citizens. Your efforts won't go unnoticed. In fact, the Wise Leader himself will decorate you with official honors!

Yet...

You are not going to dust off the applications of insignificant citizens, are you? No, pushing papers is not your cup of tea! Your goal is the Prime Minister's seat! You'll get there, too, and destroy anyone who dares to stand in your way! Scheming and blackmailing are just the tip of the iceberg – and the ends justify the means!
But…

How did you end up here? Could you have landed this job on your own? No, that would have been next to impossible! So, who sent you and – more importantly – why?
They want what?? NO!! No one can know this! Otherwise, your will career end before it begins!&nbsp;

How are you going to do what you must do? Are you even going to pursue that goal? After all, you are now an officer of the Ministry, with the power and freedom to shape your own future!

So what will you become?

The choice is still yours to make!",Beholder 2,/games/detail/beholder-2-switch,,1 player,8945446c-3c9c-36eb-a44e-af5f1a97f1fe,na,False,beholder-2-switch
392,'Available now',"'Action', 'Platformer', 'Role-Playing'",False,,,'Metroid',"Cryogear is a unique Metroidvania inspired Pixel Art platformer, set in an open sci-fi world and driven by rewarded exploration. Control the reprogrammed clone G.3.4.R as he discovers the world, learns new abilities and unveils the mystery of the Emperor AI.
Cryogear combines a versatile platformer core with exploration, shoot 'em up and RPG elements to an entertaining new game experience. Explore a dangerous open world with over 50 areas to discover. The changing world is filled with obstacles, boss fights, different enemy types, riddles, hidden areas, minigames and loot for a unique rewarding exploration experience.

Cryogear features a full-scale RPG inventory, combined with equipment, skill and crafting systems. Switch freely between active abilities and weapons during the action, which allows dynamic, skill-based strategies for every situation. While progressing through the game, you get introduced to different new abilities, weapons, and equipment to customize your clone to match your playstyle.&nbsp;

Your clone G.3.4.R. is ready to boot up!

A unique journey into the World of Cryogear awaits you..",Cryogear,/games/detail/cryogear-switch,,1 player,57745692-7a29-3e82-902b-8654a34072ab,na,False,cryogear-switch
393,'Available now',,False,,,,"The Onedari Girls are Shogi novices.
When they face a difficult situation, they request a “Do-Over” or “Hint.”
Accept their requests to get along with the girls!
When you get to know them better, you will receive a special treat...
Equipped with a function that helps you feel like you can teach the girls Shogi even if you are a beginner!
Shogi game for adults.
&nbsp;
■ Onedari Girls
Your girlfriend in 2.5 dimensions!
Satou Airi
- Birthday: March 4
- Height: 149 cm (4’10”)
- Measurements: B88, W59, H85 (cm) (B: 35, W: 23, H: 33 (in))
- Likes: Games, animation, theater, baking sweets
- Dislikes: Vegetables
- Comments
I started to cosplay!
Please get to know me much better!!
Please take care of me!
&nbsp;
Mighty rabbit
Uno Yui
- Birthday: January 5
- Height: 165 cm (5’5”)
- Measurements: B80, W58, H88 (cm) (B: 31, W:23, H: 35 (in))
- Likes: Rabbits, strawberries, the color pink, idols, chocolates, sushi
- Dislikes: Bugs, asparagus, coriander leaves, celery, hot days
- Comments:
I’m Yui Uno. Please call me “Uno-chan.”
It would make me so happy to get to know you better!
OK! Let’s do it again!
&nbsp;
Ideal mistress-type cosplayer
Hanamiya Inori
- Birthday: January 18
- Height: 164 cm (5’4”)
- Measurements: T92, U70 (under-bust), H95 (cm) (T: 36, U: 28, H: 37 (in))
- Likes: Cosplay, sushi, chocolate!
- Dislikes: Bugs, ghosts, vegetables!
- Comments:
I’m Inori Hanamiya, a half-Japanese and half-Chinese cosplayer.
I would be happy if you played with me!
Be nice to me!
&nbsp;
Attention
The language used in this game is Japanese.",Please Teach Me Onedari Shogi,/games/detail/please-teach-me-onedari-shogi-switch,,1 player,541d4fee-499b-3dad-9f3a-8ac6ac30adf9,na,False,please-teach-me-onedari-shogi-switch
394,'Available now','Adventure',False,,,,"You play the game as Paul Prospero, an occult-minded detective who receives a disturbing letter from Ethan Carter. Realizing the boy is in grave danger, Paul arrives at Ethan’s home of Red Creek Valley, where things turn out to be even worse than he imagined. Ethan has vanished in the wake of a brutal murder, which Paul quickly discerns might not be the only local murder worth looking into.
Inspired by the weird fiction and other tales of the macabre from the early twentieth century, The Vanishing of Ethan Carter aims to significantly evolve immersive storytelling in games. While it features a private detective and quite a few mental challenges, The Vanishing of Ethan Carter’s focus is on atmosphere, mood, and the essential humanity of our characters.",The Vanishing of Ethan Carter,/games/detail/the-vanishing-of-ethan-carter-switch,,1 player,139cff4b-d22b-3267-9871-89556b24a52e,na,False,the-vanishing-of-ethan-carter-switch
395,'Available now',"'Action', 'Arcade'",False,,'1+',,"&quot;VS. GRADIUS&quot; is a KONAMI’s shooting game released in 1986.
Control VIC VIPER to destroy the invading cosmic force BACTERIAN and save the planet GRADIUS.
Enhance your machine with power capsules such as lasers and other options, and fight your way through all seven unique and exciting stages!
The &quot;Arcade Archives&quot; series has faithfully reproduced many classic Arcade masterpieces.

Players can change various game settings such as game difficulty, and also reproduce the atmosphere of arcade display settings at that time. Players can also compete against each other from all over the world with their high scores.
Please enjoy the masterpiece that built a generation for video games.",Arcade Archives VS. GRADIUS,/games/detail/arcade-archives-vs-gradius-switch,,up to 2 players,11dd45f6-dd8f-3162-b5b2-cb6577ca9afe,na,False,arcade-archives-vs-gradius-switch
396,'Available now',"'Role-Playing', 'Strategy'",False,,,,"Take control of the Arbiter Kyrie, an agent of the Immortal Council tasked with preserving stability and order throughout the land, and lead your troops through difficult encounters.
&nbsp;
Features:
- Experience an epic and mature story, over 40 story encounters and challenging end-game content.
- Tactical combat battles, with rugged terrain and elevation, on beautiful hand-drawn environments.
- A deep and complex class system with over 20 classes and 200 abilities, customize every one of your characters through the selection of their class, sub-class and passives.&nbsp;
- Equip your army with over 240 pieces of equipment, either purchased, gathered from fallen enemies or created from crafting.",Fell Seal: Arbiter's Mark,/games/detail/fell-seal-arbiters-mark-switch,,1 player,7185707e-90f6-3c1b-b5dc-9ccedc9330db,na,False,fell-seal-arbiters-mark-switch
397,'Available now','Adventure',False,,,,"Life at the convent school isn't easy for Lilli. Only her vivid imagination lets the shy girl escape everyday-drudgery under the stern, watchful eye of the Mother Superior. She diligently works through her chores, no matter how unfair they may be. Her innocent, imperturbable way of carrying out the orders of others has something both tragic and eerie about it. Any resentment, any childlike disobedience is buried deep beneath a seemingly impenetrable shell of sweetness.
And if anything goes awry or gets ugly, the jolly censorship gnomes got her back: they put a nice coat of pink paint over all the things Lili would rather not consciously confront. But are her little potato-shaped budies real or just a figment of her vivid subconscious? Maybe it's only a matter of time until she completely loses her mind!
When her best friend Edna disappears under mysterious circumstances, Lili bravely sets out on a dangerous journey, not only to get her friend back, but also to confront her subconscious fears.",Edna & Harvey: Harvey's New Eyes,/games/detail/edna-and-harvey-harveys-new-eyes-switch,,1 player,0bc39c5b-9eca-3d0e-beff-738499543ce0,na,False,edna-and-harvey-harveys-new-eyes-switch
398,'Available now',"'Action', 'Adventure', 'Arcade', 'Platformer'",False,,,,"When an old woman's computer is taken over by a virus bent on total annihilation, you assume control of an ordinary software program transformed into an elite combat machine.&nbsp; Retake the system and build your character into a formidable instrument of retribution.
&nbsp;
Key Features:
A New Approach to Platforming: Entire levels transform to reveal new challenges and opportunities.

&nbsp;
Synthwave Soundtrack:
A soundtrack assembled from the very best Synthwave artists.&nbsp; Nearly two-hours of Synthwave music serves as the perfect complement to Exception's retro-futuristic aesthetic.
&nbsp;
Challenge the Leaderboards:
Compete for the best time on your favorite levels through more than 100 online leaderboards.&nbsp; Use creative attack strategies to earn a huge bonus and reach the top.",Exception,/games/detail/exception-switch,,1 player,ea44e49f-4f0c-3d20-8de5-72656d8c12b9,na,False,exception-switch
399,'Available now','Platformer',False,,,,"Never Give Up is packed full of vicious traps and hazards specifically designed to turn you into bloody chunks. When the going gets tough, the tough don't quit! From the creators of the brutal and beloved web series enjoyed by millions of players worldwide comes another installment of hardcore, skill-intensive platforming. Every time you beat a level, another element is layered in to make it even harder. Buzzsaws? Yup. Guided missiles? Mhmm. Giant rhino mechs? You know it. Never Give Up has all that and more with over 250 stages, huge boss battles, and voice acting from Arin Hanson.",Never Give Up,/games/detail/never-give-up-switch,,1 player,d75a2d20-41b2-3040-9c72-7858ed603a39,na,False,never-give-up-switch
400,'Available now',"'Action', 'Multiplayer', 'Other'",False,'At retail',"'4+', '3+', '2+', '1+'",,"Play as Jason Voorhees!
For the first time ever, you will have the opportunity to play as Jason Voorhees, the most famous killer in horror. Stalk your prey, ambush them whenever you see fit and strike fear in the hearts of so many hapless victims as you become the legend himself! Friday the 13th: The Game will include a variety of kills, new and familiar, that will help you set the tone for the Jason Voorhees that you want to be. You’ll even get to unlock various Jason incarnations from the movies!

Jason will be equipped with a terrifying array of abilities, giving you the control of a hunter at the height of his game. These are his woods, and he knows them all too well. Jason will not only feed off the fear of his victims, but will become stronger as the night progresses. The darker the night, the more terrifying Jason becomes!
&nbsp;
Fans of the movies will be able to play as various versions of Jason, including:&nbsp;

 Friday the 13th, Part II
 Friday the 13th, Part III
 Friday the 13th, Part VI: Jason Lives
 Friday the 13th, Part VII: New Blood
 Friday the 13th, Part VIII: Jason Takes Manhattan
 Jason Goes to Hell: The Final Friday
&nbsp;
How Will You Survive?&nbsp;
The entire focus of Friday the 13th: The Game is multiplayer. Survival is entirely up to you, the player, as you either stealthily hide from Jason or work together as a team to escape or bring the fight to Jason. Playing as a counselor is all about risk and reward, giving players multiple means of triumph over Jason! Want to hide in the woods as you wait for the police? Perhaps you want to band together and try to take on Jason as a group? Maybe you and a friend decide to fix the boat on the lake and escape while leaving everyone else to their fate? There are endless opportunities to survive the night, but every choice has a consequence.&nbsp;

Friday the 13th: The Game will continually set the pace of change, giving you unfamiliar surroundings while Jason Voorhees looks for his latest victim. No single strategy will ever be reliable, forcing players to adapt and change each time they begin their long night in Camp Blood! Be wary, you never know when or where Jason is going to strike!

&nbsp;
Play as the Counselors!
We all remember the various tropes from Friday the 13th, and the game will be no exception! Each counselor type will have strengths and weaknesses, affording players the chance to excel in certain situations. Find the counselor that best suits your play style, or come up with various strategies to win against Jason! Players will have the chance to continually update and improve their characters through unlocks, customization and improvement! The more you play, the more you adapt and become a better all-around counselor!",Friday the 13th: The Game Ultimate Slasher Edition,/games/detail/friday-the-13th-the-game-ultimate-slasher-edition-switch,'Online Play via Nintendo Switch Online',up to 8 players,6ca982c8-eb6f-3a1b-8a16-8f17e799fbf1,na,False,friday-the-13th-the-game-ultimate-slasher-edition-switch
401,'Available now',"'Education', 'Simulation', 'Strategy'",False,,,,"The Ultimate PC Building Simulation has arrived!
Build your very own PC empire, from simple diagnosis and repairs to bespoke, boutique creations that would be the envy of any enthusiast. With an expansive marketplace full of real-world components you can finally stop dreaming of that ultimate PC and get out there, build it and see how it benchmarks in 3DMark!
&nbsp;
Run your own Business
The career mode in PC Building Simulator puts you in charge of your very own PC building and repair business. From your own cozy workshop, you must use all your technical skills to complete the various jobs that come your way.
&nbsp;
Learn to Build a PC
Does building your own PC seem like an impossible task?
PC Building Simulator aims to teach even the most novice PC user how their machine is put together with step-by-step instructions explaining the order parts should be assembled and providing useful information on what each part is and its function.",PC Building Simulator,/games/detail/pc-building-simulator-switch,,1 player,460afb7c-4e48-34b2-a16f-ddda6c19b30d,na,False,pc-building-simulator-switch
402,'Available now',"'Action', 'Arcade', 'Racing', 'Sports'",False,,,,"#RaceDieRun is an arcade racing game in which you pilot extremely fast ships. Easy controls meet a challenging gameplay in a #Race that perfectly executes the &quot;easy to learn, hard to master&quot; saying. You will #Die many times. But you will want to improve, repeat, #Run and gain a huge satisfaction from it.&nbsp;
More than 30 types of traps await you - from simple moving blocks to leaps of faith and other creative obstacles to overcome. Every level will give you a different set of challenges to beat.&nbsp;&nbsp;

You can always just give up and quit with rage. But you’re not that type, aren’t you?&nbsp;

&nbsp;
Features:&nbsp;
- Fast-paced gameplay that will test your reflexes;

- 60 levels to finish with extra green caps to find and harder challenges to accomplish;
- 15 insane bonus levels which require ninja senses to beat;&nbsp;
- Get the best time and compete with other players for the best position on leaderboards;
- Race with ghosts of your previous runs.&nbsp;",#RaceDieRun,/games/detail/racedierun-switch,,1 player,ff1218dd-7a20-3244-8f4b-38f05e37bfb1,na,False,racedierun-switch
